DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00198(1.0),25/03/26 23:00:00,Annual,Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years),Andorra,2019,18.7,,
ESTAT:TPS00198(1.0),25/03/26 23:00:00,Annual,Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years),Albania,2014,17.5,,
ESTAT:TPS00198(1.0),25/03/26 23:00:00,Annual,Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years),Albania,2015,18.2,,
ESTAT:TPS00198(1.0),25/03/26 23:00:00,Annual,Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years),Albania,2016,18.6,,
ESTAT:TPS00198(1.0),25/03/26 23:00:00,Annual,Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years),Albania,2017,19.1,,
ESTAT:TPS00198(1.0),25/03/26 23:00:00,Annual,Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years),Albania,2018,19.7,,
ESTAT:TPS00198(1.0),25/03/26 23:00:00,Annual,Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years),Albania,2019,20.5,,
ESTAT:TPS00198(1.0),25/03/26 23:00:00,Annual,Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years),Albania,2020,21.6,,
ESTAT:TPS00198(1.0),25/03/26 23:00:00,Annual,Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years),Albania,2021,22.3,,
ESTAT:TPS00198(1.0),25/03/26 23:00:00,Annual,Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years),Albania,2022,23.1,,
ESTAT:TPS00198(1.0),25/03/26 23:00:00,Annual,Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years),Albania,2023,24.4,,
ESTAT:TPS00198(1.0),25/03/26 23:00:00,Annual,Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years),Albania,2025,33.3,,
