DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Albania,2013,100.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Albania,2014,100.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Albania,2015,100.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Albania,2016,99.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Albania,2017,99.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Albania,2018,99.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Albania,2019,99.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Albania,2020,101.6,e,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Albania,2021,101.0,e,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Albania,2022,98.8,e,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Albania,2024,84.6,e,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Austria,2013,102.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Austria,2014,103.7,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Austria,2015,104.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Austria,2016,106.0,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Austria,2017,106.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Austria,2018,107.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Austria,2019,107.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Austria,2020,107.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Austria,2021,108.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Austria,2022,109.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Austria,2023,110.7,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Austria,2024,111.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Belgium,2013,368.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Belgium,2014,369.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Belgium,2015,371.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Belgium,2016,373.7,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Belgium,2017,373.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Belgium,2018,375.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Belgium,2019,377.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Belgium,2020,377.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Belgium,2021,378.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Belgium,2022,383.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Belgium,2023,386.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Belgium,2024,389.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Bulgaria,2013,66.7,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Bulgaria,2014,66.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Bulgaria,2015,66.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Bulgaria,2016,64.8,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Bulgaria,2017,64.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Bulgaria,2018,63.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Bulgaria,2019,63.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Bulgaria,2020,63.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Bulgaria,2021,63.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Bulgaria,2022,58.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Bulgaria,2023,58.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Bulgaria,2024,58.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Switzerland,2013,202.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Switzerland,2014,204.7,,
