DATAFLOW,LAST UPDATE,freq,int_rt,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1985-Q1,8.02000,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1985-Q2,7.98667,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1985-Q3,7.56333,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1985-Q4,7.51000,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1986-Q1,7.73000,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1986-Q2,7.35000,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1986-Q3,7.26333,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1986-Q4,7.41000,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1987-Q1,7.17333,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1987-Q2,6.77000,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1987-Q3,6.93333,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1987-Q4,7.15333,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1988-Q1,6.89667,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1988-Q2,6.84333,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1988-Q3,6.99333,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1988-Q4,6.70667,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1989-Q1,6.80333,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1989-Q2,7.11333,,
ESTAT:IRT_LT_MCBY_Q(1.0),25/02/26 23:00:00,Quarterly,EMU convergence criterion bond yields,Austria,1989-Q3,7.12667,,
